date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,unmarked_share,one_sided_mark_share,net_pnl_25,net_pnl_50
2021-04-23,14626.984352167205,2966.3043478260797,145985.60713190775,105.22983308665619,92,451,0.31346902173913044,0.11095654692562354,-1.9895196601282805e-13,-198304.9233341011,631458.8730299303,-194.89441158324883,14821.878763750454,0.0,0.0,-21974.64726389639,-58471.049046873326
2021-04-26,5058.384657820337,3128.8888888888855,221414.4083951142,127.10805734890302,90,446,0.31945833333333334,0.1746808710790263,5.684341886080802e-14,-78061.39810053844,645888.8489076167,-1066.333771583813,6124.718429404151,0.0,0.0,-50422.32549830712,-105775.92759708567
2021-04-27,13295.392761843603,7907.777777777774,222660.14189416758,133.25649975954047,90,445,0.31477055555555555,0.17167252695725357,-1.7053025658242404e-13,-140394.08398555865,637848.0169240737,-4199.346991772184,17494.739753615788,0.0,0.0,-42502.899211457836,-98167.93468499974
2021-04-28,15752.986131920867,21572.222222222226,234083.57589344247,151.3154779808233,90,441,0.31947888888888887,0.17155038678767198,-2.2737367544323206e-13,-272481.3607984356,650339.3201063222,2794.8301222484433,12958.156009672422,0.0,0.0,-42919.22331942058,-101440.11729278119
2021-04-29,14820.765288086624,29682.32558139535,208510.23954579677,116.01332093608261,86,430,0.3121210465116279,0.15739194468383366,0.0,-142964.88467847294,629749.1023290307,2248.866189887885,12571.899098198739,0.0,0.011627906976744186,-37422.80791929865,-89550.36780574784
2021-04-30,4253.418991746647,-1879.0697674418636,244389.2818947745,116.55077965479386,86,424,0.30562034883720934,0.20078705595203603,-2.842170943040401e-14,35549.485907780465,616258.0523888691,310.0077394893637,3943.411252257284,0.0,0.0,-56960.45226160177,-118057.7727352954
2021-05-03,24597.27991435919,18947.72727272728,252137.98335988098,69.94456055763956,44,215,0.31827159090909096,0.20207594874783502,5.684341886080802e-14,3365.3089403772665,638885.1835700981,19289.680100951333,5307.599813407856,0.0,0.0,-38507.160486168694,-101541.65632613894
2021-05-04,17733.915191161635,17493.636363636364,229272.81235955437,83.17597511184677,88,434,0.3011809090909091,0.20713422480444477,0.0,-108284.81410116155,606700.1449609172,3229.8212511791685,14504.093939982467,0.0,0.0,-39667.4638738388,-96985.6669637274
2021-05-05,7038.065206502781,10196.222222222224,251083.37469396184,87.83362833977792,90,450,0.29835944444444445,0.17921622428566383,-2.842170943040401e-14,10121.443264344209,601352.20799169,8903.217882170007,-1865.1526756672263,0.0,0.011111111111111112,-55820.61209532746,-118591.45576881792
2021-05-06,14369.934571681957,17019.772727272728,235745.3080419138,100.85448933554632,88,434,0.29155136363636364,0.2313758244353374,8.526512829121202e-14,-158772.72871182224,589717.5272926718,-1280.6030630407195,15650.537634722676,0.0,0.0,-44667.24692813204,-103603.5739386105
2021-05-07,6753.542219289532,-2822.2222222222117,201180.81501365663,93.78695128184951,90,442,0.2921211111111111,0.17050070379537066,8.526512829121202e-14,-164503.8443291598,589388.6675706176,17820.253134144416,-11066.710914854884,0.0,0.0,-43635.44848540647,-93930.65223882062
