horizon,target,symbol,origins,qlike_RV,rmse_RV,qlike_ARCH,rmse_ARCH,qlike_GARCH,rmse_GARCH,qlike_IV,rmse_IV,qlike_MEAN,rmse_MEAN,t_dm_iv_vs_rv,premium_points,premium_ratio,mean_iv,best_qlike,best_rmse
5,target_rv,VTRS,73,2.003148913143788,0.2205652357461167,0.8599620176777537,0.29005187611860267,0.8519211928130631,0.2868516295236905,0.5400160108893964,0.17295772570260945,0.9025930155101842,0.17211855538060505,-1.8806737647867646,9.529921825472433,1.354916885717738,36.381058553442855,IV,MEAN
5,target_rv,VZ,125,0.9628437902712998,0.10964923836218508,0.436589438076048,0.0982464236881459,0.4236394138840984,0.09441216360443426,0.28963629920067696,0.07348980764967832,0.45874076199298414,0.0822768050291534,-2.806061321086391,2.1493079958981935,1.123085188114934,19.611262832342195,IV,IV
5,target_rv,WAB,99,1.310454689877596,0.14142195534305144,0.4908088111133604,0.13083220850019378,0.4992786761296876,0.13318113528247313,0.3699534212233702,0.10172319151813387,0.7822440990527345,0.10744134019716163,-1.4873200952172665,3.5811706622114046,1.1730053915214473,24.280934008993846,IV,IV
5,target_rv,WAT,101,3.454541831360884,0.2869449134956814,0.8239945632805116,0.22494227951004825,0.8121668368191988,0.224795754599442,0.6065471829047911,0.19158034561940537,1.5760300322738963,0.2320961860175269,-1.6512150828659269,2.413641210635876,1.0799231130657705,32.61318071868328,IV,IV
5,target_rv,WBD,124,2.5162517560962563,0.5336792666282937,1.3183977047214352,0.5048399588949608,1.174160343524026,0.42990753436063595,1.3152439360495083,0.4049730542958521,1.4113855912786148,0.4003594260844087,-2.332772831570987,3.47959035299893,1.0743830868035433,50.25891213873016,GARCH,MEAN
5,target_rv,WDAY,125,1.175658063089825,0.19106776396922456,0.39791476691749156,0.14609053686207565,0.4183394746897078,0.15346113494438318,0.3190904792363424,0.1294605289334276,0.4684576699722934,0.13268420827273972,-2.9506865743033055,6.096031288230108,1.209563048849454,35.18527827952287,IV,IV
5,target_rv,WDC,125,0.8100918466427924,0.2890027004445994,0.4889139050223023,0.27007889154270587,0.49042094963681543,0.2422914754185531,0.3096365233128436,0.19358842185529895,0.9108995557016388,0.2597156240216577,-2.878735104419704,3.8371382372082907,1.076673899980532,53.88204580265842,IV,IV
5,target_rv,WEC,92,0.37121594268158065,0.05304288658177445,0.24032602486638283,0.05461894730070636,0.19098193568847285,0.04345253573403263,0.2604930193641717,0.059322322231690025,0.1765818481976254,0.04264712224023333,-0.8658195383641654,4.585835644098606,1.3377428940106295,18.16372499550057,MEAN,MEAN
5,target_rv,WELL,103,1.1705285119144668,0.11428872662614396,0.4424569409958465,0.09605284865024741,0.4643602955247155,0.09618544083108649,0.3990661437783532,0.09002230508883913,0.49666919030523,0.08486908951933923,-1.564896527736548,5.003180120281744,1.2806007790865037,22.83342327416607,IV,MEAN
5,target_rv,WFC,125,1.199733137184461,0.14898424323880147,0.49481134463582305,0.13251212227747364,0.5036191229543342,0.1354700005879254,0.40566490149180434,0.11537909932285359,0.5119940930009046,0.11456915894365503,-2.6512657705132088,4.637912370245966,1.2095996014276293,26.76539896209117,IV,MEAN
5,target_rv,WM,101,1.3471356145993845,0.10923145711192125,0.4072394012420833,0.08514262517441443,0.3606628458818181,0.07953941390958702,0.2641316736562998,0.07045818699082519,0.41694289994189987,0.0773337550112149,-1.561332527176807,2.729728860209558,1.1631330936200657,19.46286865198632,IV,IV
5,target_rv,WMB,125,0.7402539198558643,0.1327781952226272,0.47390877513896146,0.12610402303951262,0.4870760767915557,0.11019140387836823,0.3951545773372917,0.10567908577553362,0.46607406892156944,0.11597845706024258,-2.305993942830789,5.507567852857598,1.2690887617499471,25.975044149677256,IV,IV
5,target_rv,WMT,125,2.0421665397912103,0.15068143142333704,0.7320682028686782,0.13340980182333265,0.7119791905956113,0.12810205461703714,0.5604981371671265,0.11554093793856207,0.8138008664764472,0.11144265831041632,-2.2721896608581913,5.162229751315602,1.2813656477772701,23.509280260488048,IV,MEAN
5,target_rv,WRB,95,1.1786748018457327,0.12879278163302005,0.5813802857094528,0.11375666099609746,0.6149220896451609,0.11859713530199337,0.6364245142527373,0.12035365872407962,0.7096456671614632,0.11075890787224056,-1.1495797551331577,4.444721669567967,1.2455888774233488,22.54294222499692,ARCH,MEAN
